solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
lbfgs,l2,False,0.0001,1.0,True,1.0,100,ovr,,,2019,0,False,,0.044
lbfgs,l2,False,0.887,49.517,True,8.197,101,multinomial,,,2019,0,False,,0.044
liblinear,l1,False,0.861,91.314,True,4.099,103,ovr,0.7579544029403025,,2019,0,True,,0.102
lbfgs,l2,False,0.0001,1.0,False,1.0,100,ovr,,,2019,0,False,,0.084
lbfgs,l2,False,0.089,5.846,True,8.553,96,auto,0.420571580830845,,2019,0,True,,0.044
saga,elasticnet,False,0.004,47.491,True,3.593,101,ovr,0.25891675029296335,,2019,0,True,,0.046
lbfgs,l2,False,0.0001,1.0,False,4.197228368797344,100,ovr,,,2019,0,False,,0.084
lbfgs,l2,False,0.0001,3.7900987096316987,False,4.197228368797344,100,ovr,,,2019,0,False,,0.084
newton-cg,none,False,0.837,99.81,False,5.891,103,multinomial,0.5112747213686085,,2019,0,True,,0.084
saga,elasticnet,False,0.882,43.938,False,1.392,98,multinomial,0.7837985890347726,,2019,0,False,,0.121
lbfgs,none,False,0.882,43.938,False,1.392,98,multinomial,,,2019,0,False,,0.084
newton-cg,l2,False,0.708,19.609,True,5.266,103,auto,0.4765969541523558,,2019,0,True,,0.044
sag,none,False,0.677,54.699,False,0.575,103,auto,,,2019,0,False,,-0.125
sag,none,False,0.141,63.161,True,2.011,97,multinomial,0.9081128851953352,,2019,0,True,,0.074
sag,l2,False,0.676,57.473,False,1.721,102,auto,,,2019,0,False,,-0.125
liblinear,l1,False,0.861,91.314,True,4.099,103,ovr,0.28183784439970383,,2019,0,True,,0.102
lbfgs,l2,False,0.634,28.178,True,0.871,96,auto,,,2019,0,True,,0.044
liblinear,l1,False,0.861,91.314,True,4.099,103,ovr,0.6183689966753316,,2019,0,True,,0.102
lbfgs,none,False,0.947,98.314,False,4.531,103,ovr,0.25050634136244054,,2019,0,False,,0.084
saga,none,False,0.595,69.441,True,9.313,96,multinomial,0.9097462559682401,,2019,0,True,,0.119
lbfgs,l2,False,0.904,39.084,False,1.73,99,multinomial,,,2019,0,True,,0.084
saga,l1,False,0.439,93.725,False,0.208,105,auto,,,2019,0,False,,0.105
sag,l2,False,0.676,57.473,False,1.721,102,multinomial,,,2019,0,False,,-0.015
liblinear,l1,False,0.861,91.314,True,4.099,103,ovr,,,2019,0,True,,0.102
liblinear,l1,False,0.861,91.314,True,4.099,99,ovr,,,2019,0,True,,0.102
lbfgs,l2,False,0.0001,3.7900987096316987,False,4.197228368797344,100,multinomial,,,2019,0,False,,0.084
sag,l2,False,0.335,35.022,True,7.454,104,auto,,,2019,0,False,,0.109
newton-cg,none,False,0.095,35.552,True,3.553,95,multinomial,,,2019,0,True,,0.044
liblinear,l1,False,0.861,91.314,True,4.099,99,ovr,0.7298317482601286,,2019,0,True,,0.102
liblinear,l1,False,0.676,57.473,False,1.721,102,ovr,,,2019,0,False,,0.121
sag,l2,False,0.335,36.022,True,7.454,104,auto,,,2019,0,False,,0.109
newton-cg,none,False,0.845,82.951,False,2.004,97,auto,0.6839839319154413,,2019,0,True,,0.084
lbfgs,none,False,0.955,69.731,False,1.572,98,ovr,0.1007012080683658,,2019,0,True,,0.084
liblinear,l2,False,0.213,56.234,True,9.809,102,ovr,0.4341718354537837,,2019,0,False,,0.14
liblinear,l2,False,0.09862684152581015,56.234,True,9.809,102,ovr,0.9130110532378982,,2019,0,False,,0.053
newton-cg,none,False,0.422,49.799,True,8.311,97,auto,0.8653099277716401,,2019,0,False,,0.044
saga,elasticnet,False,0.095,27.374,True,2.282,105,ovr,0.014041700164018955,,2019,0,False,,0.104
liblinear,l1,False,0.596,90.331,False,1.904,98,ovr,0.7197046864039541,,2019,0,True,,0.121
liblinear,l1,False,0.84,85.571,False,1.857,105,auto,,,2019,0,True,,0.121
newton-cg,none,False,0.597,38.997,False,1.096,101,ovr,0.39882354222426875,,2019,0,False,,0.084
liblinear,l1,False,0.365,1.183,True,8.753,99,ovr,0.6681532012318508,,2019,0,False,,0.094
newton-cg,l2,False,0.548,36.321,False,0.707,95,ovr,0.49357786646532464,,2019,0,False,,0.084
liblinear,l2,True,0.095,27.374,True,2.282,105,ovr,,,2019,0,False,,0.13
lbfgs,none,False,0.314,65.475,False,9.26,97,multinomial,0.32520436274739006,,2019,0,False,,0.084
liblinear,l1,False,0.596,90.331,False,1.904,98,ovr,0.5675107406206719,,2019,0,True,,0.121
newton-cg,none,False,0.284,28.8,True,7.566,101,multinomial,,,2019,0,True,,0.044
newton-cg,l2,False,0.882,43.938,False,1.392,98,multinomial,0.23861592861522019,,2019,0,False,,0.084
saga,l1,False,0.747,89.041,False,9.441,95,auto,,,2019,0,True,,0.105
saga,elasticnet,False,0.355,61.572,True,8.926,100,auto,0.80317946927987,,2019,0,False,,0.104
liblinear,l1,False,0.596,90.331,False,1.904,98,ovr,0.44796957143557037,,2019,0,True,,0.121
