"","agem","agerace","age0","wm","wrace","wn","w0","eage","ew","em","er","erace","egender","ehr","en","ey","e0","mrace","m0","oage","ow","oe","om","or","orace","ogender","ohr","on","oy","rage","rw","rm","rrace","rgender","rhr","r0","race0","genderage","genderw","genderm","genderrace","genderhr","gendern","gender0","hrage","hrw","hrm","hrrace","hrn","hr0","nage","nm","nrace","n0","yage","yw","ym","yr","yrace","ygender","yhr","yn","y0","sigma_h_Sq","sigma_h","lp__"
"1",-0.0113748889801826,0.0497884252892575,-0.141896937998791,0.0540243435691907,0.0677840530173286,-0.000578389755125763,-0.31734600310149,0.034278368810259,0.0772029050954371,0.0635208357584161,-0.0476958809946489,0.0510187034476019,0.135600237202541,-0.101144425861713,0.00384165638365097,0.0259455769435605,2.26040068686763,0.0497583539163596,-1.5581658238655,0.00408777800876889,0.0335440254051864,0.00726392370890568,0.00931788245828015,-0.0232537396377571,0.00397701592245632,0.0647706758291989,-0.0312415483865968,-0.000914536411463921,-0.0223806959044591,-0.0463250390761721,0.13381349905956,0.107364651434178,0.022255792531966,-0.726943894082147,0.00219955431919573,1.13487042116478,-1.40802504669208,0.064966047732308,0.606315573754609,0.214112788723538,0.179087335952414,1.76493095487811,-0.000439825342943268,-0.140434695132784,-0.028979158179607,0.0165275812093521,-0.100606142645715,-0.0199168347379617,-0.000314959000320009,0.369460549638958,0.022932370391638,0.0356431756076315,0.037965009164839,3.57500753478517,0.181567417202181,-0.0903088651837868,-0.273449175892446,-0.721653097420866,-0.0598015615688884,1.14047078904357,-0.783808646798155,-0.00256509350529756,-1.09015497067762,1.71178219873065,1.30835094631779,5308193.68411965
"2",-0.00880587595151428,0.0487770839330316,-0.123607318933611,0.0542877043747622,0.0656667468245573,-0.00195746490163513,-0.173042958668297,0.0319040512363697,0.0719519996449311,0.0650795936100573,-0.0470487098865738,0.0532703069049325,0.130656653436741,-0.100047784870621,0.00425056077883629,0.0234542397833024,2.26932445149127,0.0478450822620681,-1.53300761765834,0.00362368868941262,0.0311169728094428,0.00659199746777418,0.0081662872877718,-0.0228939712366332,0.00349165775968742,0.0672875503138535,-0.0313385854389574,-0.000702419932338307,-0.0200696073635021,-0.0480245403450879,0.119667081443149,0.108236372200605,0.0301597672078335,-0.712005442719913,0.00147930860659302,1.13381997504802,-1.3732987227609,0.073692625861873,0.541432472801403,0.214964406344818,0.185953510900401,1.74884667880975,-0.00465652031927199,-0.134419884183032,-0.0312538045921111,0.0220326635111923,-0.100402013461253,-0.0228923571144976,0.000503624465746532,0.362939624466283,0.0229650118529104,0.0345246712629821,0.0366260834104886,3.57818524285046,0.19807563271232,-0.0796995196068583,-0.27620552812049,-0.760934236239492,-0.0629635163548687,1.1407190738162,-0.75117294743855,-0.00202777874654858,-1.09129401098705,1.67260622399104,1.2932927835533,5310477.07105654
"3",-0.00837949729247153,0.0492557708947653,-0.116353794198883,0.0539358311845281,0.0650086969090767,-0.00149570193868186,-0.103225142421702,0.0320915690108394,0.0686328334847521,0.0660298629865813,-0.0471968766559906,0.0506738336628996,0.130846054411733,-0.100143700857225,0.00428765351754574,0.0239911482377537,2.26809926388615,0.0475703903477036,-1.51973567434543,0.00339233636034838,0.031135150635716,0.00674203681597479,0.00823709427840051,-0.0230844345161378,0.00417139884337331,0.0663507089185484,-0.0314647740114028,-0.000815673505102493,-0.0207695127164904,-0.0494075268816094,0.11057128528015,0.1073952105865,0.0335089518606385,-0.726062496763498,-0.00821213236321543,1.13366055646404,-1.3577575371808,0.0601809744097525,0.51414756262388,0.212555564342019,0.195519491199693,1.7434386338953,-0.00585548064378775,-0.133589974769122,-0.0258420325073927,0.0265008363164699,-0.102309185479024,-0.0235382731139504,-0.000439200773416413,0.360475805197792,0.0230783030263227,0.0340054427366078,0.0365094097610229,3.57571651402861,0.198676078528754,-0.0819433206800775,-0.274941202413623,-0.755129622853157,-0.0553951813672317,1.14157394154884,-0.733748554979145,-0.00219330282099607,-1.09373187778256,1.68911175677152,1.29965832308785,5311497.29305782
"4",-0.00802246565803345,0.0521538713985919,-0.102562500339208,0.0525825596148035,0.0642048990709716,-0.000420981460717182,-0.00880329464869387,0.0296338846671976,0.0657341558601381,0.0670608887957401,-0.047910207538217,0.0498212925598394,0.134349328470341,-0.0982957458093984,0.0037386103103313,0.0243016551902139,2.26421757940446,0.0482423473100204,-1.49828558755865,0.00471626860659943,0.0302245230029097,0.00683849196663733,0.0087378994171891,-0.0217896276161101,0.00463727062228434,0.0657846247688588,-0.0313346771841893,-0.00079641004896412,-0.0189946386479432,-0.0453758497401534,0.0998779035895716,0.106377810457081,0.0367920854162454,-0.749100979611502,-0.00713367916091838,1.13136339464439,-1.33433504376501,0.0752759148192452,0.460786394940929,0.213383283639804,0.20847362705381,1.72789829771027,-0.0043166158938495,-0.127714770980432,-0.0276910634807595,0.0161127925833404,-0.0989692545013774,-0.0210434686988429,-0.00147101331479102,0.355128257329504,0.0227951503004261,0.0332839882944341,0.0354786512493042,3.57593064461324,0.187031595879836,-0.0797668462043645,-0.286973059735659,-0.754350008007599,-0.0545459686684832,1.13972244954888,-0.70798750906903,0.00381374782184917,-1.09832017736187,1.64956112681357,1.2843524153493,5313002.00826017
"5",-0.0126230690756237,0.0495456019553644,-0.0876954245874977,0.053887073480281,0.0636163653369123,-0.000869446583836224,0.0773847267033839,0.032820318995794,0.061668891877524,0.0672408863935861,-0.0469586508929956,0.0500950345186205,0.12991124671875,-0.0991086777495554,0.00399385633134307,0.0247772268883051,2.26548298784337,0.0458015136406034,-1.47802430639394,0.00448561618846552,0.030309087962772,0.00655044025683777,0.00795141506676651,-0.0226696179179728,0.00370430574595038,0.0674296763929434,-0.0318031709515482,-0.000762620180695301,-0.0189653217784741,-0.0501469075052955,0.0891960297572037,0.10566340415665,0.0400876422916661,-0.732971063540007,-0.00226160183601923,1.13031806995463,-1.31008768352494,0.0549760021700458,0.421811244005197,0.215079935151033,0.209700893906078,1.71736573791757,-0.00630718048334416,-0.125113578570728,-0.0294001593687354,0.0266469281795241,-0.101850355576637,-0.0155287546225034,-0.0002188385349684,0.352832223745898,0.0221172393716909,0.0330111959756794,0.0352021604275262,3.57451398778036,0.19684530976697,-0.0765790996535367,-0.278710430673321,-0.76200940966047,-0.0533707342953035,1.14082540124164,-0.684669868812847,0.00532195132606298,-1.09824823217644,1.65251535309845,1.28550198486757,5314258.84924886
"6",-0.0116354208928947,0.0494401517048585,-0.0822316629839998,0.0537223279691572,0.0628526647461483,1.90222174184588e-05,0.112439425460748,0.0326366121986321,0.0603728080682565,0.0666046641725114,-0.0471374927063774,0.0500834184484404,0.133037816751243,-0.0987188397740065,0.00400400575510056,0.0244285468665723,2.2656825373468,0.0464397067865114,-1.47021892171002,0.00380570662971227,0.029795652979401,0.00689185426048837,0.00810645800312654,-0.0227002946008667,0.00402655569959828,0.0651242940305229,-0.0308450492458509,-0.00106136797065864,-0.0192769641213294,-0.0478823059171561,0.0865443433461864,0.105987038828285,0.0412171507262379,-0.735906042881919,-0.00325192392501916,1.13077350177153,-1.30654485314214,0.0699069072811689,0.406877658523223,0.21488427428439,0.208508915145721,1.7115375215557,-0.00408822466008609,-0.121144729481426,-0.0315764445928422,0.0206961588290117,-0.100885083776973,-0.0140499297300988,-0.00117357177358473,0.351214614330042,0.0217212168912064,0.0329475225633474,0.0351077187282218,3.57187137335263,0.193758730267361,-0.079879301340852,-0.284409870497293,-0.76652794502605,-0.0559809263539951,1.14221006666853,-0.67682768120818,0.00438466601275941,-1.09766952832384,1.63822394808205,1.27993122787205,5314710.56374342
"7",-0.0119737067430214,0.049843921082191,-0.082273419062869,0.0534972186515632,0.0626434495212316,0.000332607967860457,0.113842176070693,0.0327998562192989,0.0601650136765449,0.0665278282184927,-0.0471270778665716,0.0496443907939754,0.131344826708848,-0.0983328949638387,0.00400087567755496,0.0243287501648518,2.26309636915268,0.0459523469169449,-1.46937907305943,0.00374069192201971,0.0298940847361019,0.00695990436304209,0.00828273712618425,-0.0226859086503307,0.0041533198132839,0.066632363950313,-0.0308406830673362,-0.00115424055388216,-0.0193229292922741,-0.0481790407024471,0.0862864308873121,0.106111068769577,0.0411940825513257,-0.7348015987517,-0.00485020089050765,1.13090338660522,-1.3064009648748,0.0759104788277107,0.406336885278042,0.215163285196988,0.208887951580956,1.7112482307934,-0.00370865944094788,-0.120574056340036,-0.0310959967298926,0.0196160358907914,-0.0998427666816399,-0.0139678001368743,-0.00116991630138276,0.351744574650117,0.0216548269151659,0.0329076341777469,0.0352913617519269,3.57196851421924,0.197103413466401,-0.0799486119548169,-0.290602324712289,-0.764846688045197,-0.0516819713802117,1.14209295643535,-0.676297949509528,0.0045557813161282,-1.09771419085852,1.62980052355284,1.27663641008427,5314725.80376563
"8",-0.012432803714432,0.0491717281794245,-0.0794523826195564,0.0524613949595041,0.0636067531660263,0.000157907828472506,0.131663546224507,0.03147812126605,0.0595882456991544,0.0675092852083576,-0.047909086412436,0.0517059544570894,0.131727390888823,-0.0998880988893538,0.00367520884757117,0.0251818479925739,2.26620160212019,0.0459017977997817,-1.46420486223658,0.00423831882072477,0.0290157582224789,0.00677364376999569,0.00897847165854654,-0.0219883261496603,0.00449845649531155,0.0661923240297651,-0.0300504244724898,-0.000873110260687769,-0.0195489480065504,-0.0469653570758889,0.0848328425253298,0.104531531476526,0.0406008504235601,-0.731665474677864,-0.000310549519976222,1.13119471151521,-1.30006988942676,0.065720883682532,0.394641460146666,0.215144124778189,0.205744687701476,1.70869896146586,-0.00457942793534456,-0.119909541533706,-0.0315025913881179,0.0197592898617839,-0.105060923576531,-0.0133633896413034,-0.00083543670485133,0.350465281524781,0.0218378854693787,0.0326544220038344,0.0346230367948965,3.57177041850013,0.203773831680551,-0.068553506588532,-0.283746826249196,-0.767738535766941,-0.0631182099540255,1.14240225749189,-0.669897833484884,0.00408216514580557,-1.09716213569871,1.63294068451712,1.27786567545933,5314983.28989179
"9",-0.0133657819742224,0.0499626914399194,-0.0763783915325766,0.0528331662571063,0.0633604694014473,-0.000618450480407841,0.155812329931064,0.0315877458897924,0.0581778793231736,0.0692386670021225,-0.0468291000052761,0.0506184857054692,0.131699563954048,-0.10081326854289,0.00421508230203453,0.0250139971471137,2.26453821509369,0.0478813831709577,-1.45970604530652,0.00422305840494286,0.0291407676198699,0.00683906701742538,0.00810531070836933,-0.0217965139619559,0.00419480152835534,0.0665529586235285,-0.0281554247640048,-0.00107191740405582,-0.0185761994751611,-0.0506460753148387,0.0825757168222439,0.105693989718715,0.040237492346655,-0.732675639330012,-0.00121449151930322,1.13000312692708,-1.29492581505325,0.0562958373166304,0.386352950589365,0.216538359729911,0.205043935205721,1.70613307394806,-0.00400203933923106,-0.11893815124755,-0.0281308266491421,0.0226572839767466,-0.103094033913327,-0.0144800479716851,0.000186392284628508,0.350867088551053,0.0221923039470663,0.032022677409416,0.0345983758621035,3.57282813692948,0.188008532433723,-0.0635132914750245,-0.280141143049537,-0.770035314290743,-0.0510164357119554,1.14211185495865,-0.665769602840522,0.00355225060998881,-1.09743112687119,1.62355699891332,1.27418876109991,5315268.33827954
"10",-0.0114834839299509,0.0484685320508883,-0.0719162132510644,0.0524835739901858,0.0632890105418487,-0.000912408373539515,0.172732596349786,0.031180458307994,0.0574292985484384,0.0691232793479208,-0.0471474236555606,0.0503586255313021,0.128715623123026,-0.100164743196147,0.00415564259760375,0.0247440832398569,2.26517802118914,0.0488105719169764,-1.45478595346343,0.00471534870825724,0.029155288275474,0.00650208679049743,0.00844122464274511,-0.0224412762881983,0.00446388567324138,0.0692958344320701,-0.0277936072605245,-0.000604949110497412,-0.0188557551873279,-0.0476745319926565,0.0810351512862413,0.105637522937146,0.0416527282851412,-0.727373884080288,-0.00284199928390335,1.12942223388266,-1.29046860842884,0.0637345487289075,0.381449072630685,0.216520931419374,0.203626900607119,1.70455598514121,-0.00411637759053054,-0.118809124550046,-0.0243053300415854,0.022615267788077,-0.10191962487138,-0.0154303910157629,-0.00162107535011592,0.349964785755488,0.0217984584100706,0.031962049707866,0.0344504406863088,3.57086671616024,0.194523483838344,-0.0744340888973666,-0.28997684799984,-0.761370266895378,-0.0518436003476094,1.14252484003746,-0.659645855178029,0.00337359510231472,-1.09741691909931,1.62487259949516,1.27470490682948,5315492.33963957
