solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
lbfgs,l2,False,0.0001,1.0,True,1.0,100,ovr,,,2019,0,False,,0.018
newton-cg,none,False,0.876,18.442,True,0.592,95,auto,0.2651403405802123,,2019,0,False,,0.019
lbfgs,l2,False,0.0001,1.0,True,1.0,100,ovr,,,2019,0,True,,0.018
newton-cg,none,False,0.876,18.442,True,0.592,95,auto,0.7553472540775595,,2019,0,False,,0.019
lbfgs,l2,False,0.0001,1.0,True,1.0,96,ovr,,,2019,0,True,,0.018
newton-cg,l2,False,0.896,33.475,True,4.311,104,multinomial,,,2019,0,True,,0.019
lbfgs,l2,False,0.0001,0.01,True,1.0,96,ovr,,,2019,0,True,,0.015
newton-cg,l2,False,0.876,18.442,False,0.592,95,auto,0.06817599067392754,,2019,0,False,,0.014
liblinear,l2,False,0.882,54.018,False,1.058,105,ovr,,,2019,0,True,,-0.058
liblinear,l2,False,0.028,56.284,False,6.529,103,auto,0.24480718158319303,,2019,0,True,,0.013
liblinear,l1,False,0.131,74.875,False,8.376,101,ovr,0.10524573739126641,,2019,0,False,,-0.007
liblinear,l2,False,0.882,85.58358498599408,False,1.058,105,ovr,,,2019,0,True,,-0.058
newton-cg,none,False,0.876,18.442,False,0.592,95,auto,0.02337947570561305,,2019,0,True,,0.014
newton-cg,none,False,0.876,18.442,False,0.592,95,auto,0.22818075684957606,,2019,0,False,,0.014
liblinear,l1,False,0.882,85.58358498599408,False,1.058,105,ovr,,,2019,0,True,,-0.044
sag,l2,False,0.515,63.776,True,8.262,102,multinomial,,,2019,0,True,,-0.02
newton-cg,none,False,0.876,18.442,False,0.692,95,auto,0.5718823312425013,,2019,0,False,,0.014
saga,elasticnet,False,0.002,8.986,True,4.056,101,multinomial,0.04681053408530067,,2019,0,False,,0.015
lbfgs,none,False,0.349,40.485,True,7.034,105,ovr,,,2019,0,False,,0.018
liblinear,l1,False,0.882,85.58358498599408,False,1.058,105,ovr,,,2019,0,False,,-0.044
newton-cg,l2,False,0.876,18.442,False,0.692,95,auto,0.7545769970381292,,2019,0,False,,0.014
newton-cg,none,False,0.032,68.261,True,2.145,96,auto,0.2973640837416942,,2019,0,False,,0.019
newton-cg,l2,False,0.11,37.14,True,8.815,95,auto,,,2019,0,True,,0.019
lbfgs,none,False,0.765,10.905,False,0.293,105,multinomial,,,2019,0,False,,0.014
newton-cg,none,False,0.876,18.442,False,0.692,95,auto,0.30345893473100305,,2019,0,False,,0.014
newton-cg,none,False,0.876,18.442,False,0.692,95,auto,0.07871888820915252,,2019,0,False,,0.014
newton-cg,none,False,0.876,18.442,False,0.692,95,auto,0.8504675430905894,,2019,0,True,,0.014
liblinear,l1,False,0.882,85.58358498599408,False,1.058,105,ovr,0.30935441588827617,,2019,0,True,,-0.044
sag,l2,False,0.012,30.859,False,8.377,98,auto,,,2019,0,False,,0.004
saga,l2,False,0.838,87.564,True,3.831,101,multinomial,0.6752028672425395,,2019,0,False,,-0.034
newton-cg,none,False,0.82,47.596,True,4.108,105,multinomial,0.41855612665015074,,2019,0,False,,0.019
newton-cg,l2,False,0.116,60.411,True,1.404,98,multinomial,0.6144296852045769,,2019,0,True,,0.019
newton-cg,none,False,0.352,53.984,False,3.676,97,ovr,,,2019,0,False,,0.014
liblinear,l1,False,0.882,85.58358498599408,False,1.058,105,ovr,0.7756126167335662,,2019,0,True,,-0.044
newton-cg,none,False,0.222,98.42,False,1.651,100,auto,0.2607034237590228,,2019,0,False,,0.014
newton-cg,l2,False,0.876,18.442,False,0.692,95,auto,0.1804911170153758,,2019,0,True,,0.014
liblinear,l2,True,0.103,73.102,False,9.663,103,ovr,,,2019,0,True,,-0.007
lbfgs,none,False,0.882,85.58358498599408,False,1.058,105,multinomial,0.22379373239114686,,2019,0,True,,0.014
lbfgs,l2,False,0.08,15.204,False,8.549,97,multinomial,0.12173605023538614,,2019,0,False,,0.014
liblinear,l1,False,0.233,72.807,True,1.504,105,auto,,,2019,0,True,,-0.02
lbfgs,l2,False,0.0001,0.01,True,1.1,96,ovr,,,2019,0,True,,0.015
saga,elasticnet,False,0.78,2.809,True,7.54,105,multinomial,0.6397097805746027,,2019,0,False,,-0.034
lbfgs,none,False,0.108,91.956,True,0.676,99,multinomial,,,2019,0,False,,0.018
liblinear,l1,False,0.163,31.641,False,5.427,102,ovr,0.895767724140216,,2019,0,True,,-0.007
