solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
lbfgs,l2,False,0.0001,1.0,True,1.0,100,ovr,,,2019,0,False,,0.022
saga,l1,False,0.941,1.326,True,8.137,100,multinomial,0.8444218515250481,,2019,0,False,,-0.025
lbfgs,l2,False,0.604,50.459,True,2.266,99,auto,0.420571580830845,,2019,0,False,,0.02
saga,l1,False,0.941,1.326,True,8.137,101,multinomial,0.25891675029296335,,2019,0,False,,-0.025
lbfgs,l2,False,0.0,1.0,True,1.0,100,ovr,,,2019,0,False,,0.022
liblinear,l1,False,0.356,40.336,True,9.107,96,auto,,,2019,0,True,,-0.038
lbfgs,none,False,0.0,1.0,True,1.0,100,ovr,,,2019,0,False,,0.021
saga,none,False,0.941,1.326,True,8.137,101,multinomial,0.4765969541523558,,2019,0,False,,-0.025
lbfgs,l2,False,0.388,56.045,False,3.441,95,auto,,,2019,0,False,,0.015
newton-cg,l2,False,0.568,79.544,True,8.936,97,multinomial,0.9081128851953352,,2019,0,True,,0.022
saga,none,False,0.941,1.326,True,8.137,102,multinomial,0.28183784439970383,,2019,0,False,,-0.025
lbfgs,l2,False,0.074,96.359,True,0.928,103,multinomial,0.6183689966753316,,2019,0,True,,0.021
lbfgs,none,False,0.618,83.792,True,2.481,99,multinomial,0.9097462559682401,,2019,0,True,,0.02
sag,none,False,0.063,90.169,False,2.526,100,ovr,0.9827854760376531,,2019,0,True,,-0.01
saga,none,False,0.941,1.326,True,8.137,103,multinomial,0.8102172359965896,,2019,0,False,,-0.025
saga,none,False,0.848,87.264,True,6.841,99,multinomial,,,2019,0,True,,-0.025
liblinear,l1,False,0.062,7.277,True,6.734,99,auto,,,2019,0,False,,0.005
lbfgs,none,False,0.0,1.0,True,1.0,99,ovr,,,2019,0,False,,0.021
newton-cg,none,False,0.67,11.664,False,6.0,97,multinomial,0.1007012080683658,,2019,0,True,,0.015
saga,none,False,0.941,1.326,True,8.037,103,multinomial,0.6108869734438016,,2019,0,False,,-0.025
lbfgs,l2,False,0.75,50.545,False,3.207,101,auto,0.9130110532378982,,2019,0,False,,0.015
liblinear,l1,False,0.356,40.336,False,9.107,96,auto,,,2019,0,True,,-0.032
saga,none,False,0.941,1.326,True,8.037,103,multinomial,0.9666063677707588,,2019,0,False,,-0.025
lbfgs,l2,False,0.68,29.794,False,3.595,96,multinomial,,,2019,0,True,,0.016
