,age,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,label
age,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
d,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1
h,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
i,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
j,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
k,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
l,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1
m,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1
n,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1
o,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
p,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1
label,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
