,age,b,c,d,e,f,g,h,i1,j,k,l,m,n,o,p,label
age,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
h,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
i1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
j,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
k,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
l,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
m,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0
n,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
o,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1
p,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
label,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0
