age,w,e,m,o,r,race,gender,hr,n,y
1,4,7,4,7,3,2,1,-0.03408696347500956,39,0
3,4,9,2,5,0,4,1,0.7729297452241753,39,0
2,2,12,2,11,0,4,1,-0.03408696347500956,39,1
4,4,10,2,7,0,2,1,-0.03408696347500956,39,1
1,0,10,4,0,3,4,0,-0.8411036721741945,39,0
3,4,6,4,8,1,4,1,-0.8411036721741945,39,0
2,0,9,4,0,4,2,1,-0.03408696347500956,39,0
6,6,15,2,10,0,4,1,-0.6797003304343575,39,1
1,4,10,4,8,4,4,0,-0.03408696347500956,39,0
5,4,4,2,3,0,4,1,-2.455137089572564,39,0
6,4,9,2,7,0,4,1,-0.03408696347500956,39,1
3,1,13,2,1,0,4,1,-0.03408696347500956,39,0
2,4,9,4,1,1,4,0,-0.11478863434492804,39,0
6,0,9,2,0,0,4,1,-0.43759531782460204,39,0
4,4,9,2,7,0,4,1,0.6115264034843384,39,1
4,4,14,2,4,0,4,1,0.7729297452241753,39,1
1,7,10,4,8,3,4,1,-1.244612026523787,39,0
4,4,9,2,1,5,4,0,-0.8411036721741945,39,0
3,4,9,6,7,4,4,0,-1.6481203808733793,39,0
3,4,16,2,10,0,1,1,0.36942139087458287,0,1
3,4,13,2,13,0,4,1,0.5308247326144199,39,1
3,4,10,4,8,3,2,0,-0.43759531782460204,39,0
7,0,4,0,0,1,4,0,-2.7779437730522383,39,0
1,4,13,4,10,1,4,1,0.20801804913474592,29,0
1,4,13,2,10,0,4,1,-0.03408696347500956,39,0
4,6,9,2,3,0,4,1,4.000996580020915,39,1
1,4,9,4,1,3,4,1,-1.6481203808733793,39,0
1,4,9,5,7,4,2,1,1.0957364287038494,39,0
5,4,9,2,3,0,4,1,-0.43759531782460204,39,0
2,6,10,4,10,1,4,1,1.5799464539233603,39,0
4,7,10,2,4,0,2,1,-0.19549030521484653,39,1
5,6,7,6,8,4,4,0,0.7729297452241753,39,0
1,6,13,4,12,1,4,1,0.7729297452241753,39,0
1,2,10,2,11,0,4,1,-0.03408696347500956,39,0
2,4,9,0,4,4,4,0,-0.03408696347500956,39,0
6,0,9,2,0,0,4,1,-0.03408696347500956,39,0
3,2,13,2,10,0,4,1,-0.03408696347500956,39,1
1,4,3,4,9,1,4,1,0.7729297452241753,13,0
1,4,6,4,7,1,4,1,-0.03408696347500956,39,0
1,4,9,4,3,3,4,1,-0.03408696347500956,39,0
6,4,14,2,10,0,4,1,0.7729297452241753,39,1
4,5,11,2,12,0,4,1,0.36942139087458287,39,1
3,4,9,2,5,0,4,1,-0.03408696347500956,39,0
2,4,7,2,8,0,4,1,-0.03408696347500956,39,0
1,7,10,4,5,3,4,1,-0.6797003304343575,39,0
2,4,11,2,10,5,4,0,-0.3568936469546835,39,1
3,4,4,2,3,0,4,1,-0.03408696347500956,26,0
5,4,10,2,14,0,4,1,0.7729297452241753,39,0
5,4,7,5,9,1,2,0,-1.8095237226132164,39,0
5,5,9,6,4,1,4,0,0.7729297452241753,39,0
1,4,10,4,8,3,4,1,-1.6481203808733793,39,0
3,4,9,0,6,3,2,1,-0.03408696347500956,39,0
1,4,10,4,8,3,4,0,-1.3253136973937054,39,0
1,4,9,4,8,1,4,1,1.5799464539233603,39,1
3,4,5,3,4,1,4,1,1.0957364287038494,26,0
1,4,10,4,1,3,4,0,-0.03408696347500956,39,0
6,4,9,2,3,0,4,1,-0.03408696347500956,39,0
3,2,13,2,4,0,4,1,0.7729297452241753,39,1
4,5,9,2,4,0,4,1,0.7729297452241753,39,1
2,4,9,2,6,0,4,1,-0.03408696347500956,39,0
2,4,13,4,4,1,4,0,0.7729297452241753,39,0
3,4,10,0,12,1,4,1,-0.03408696347500956,39,0
