race,sex,LSAT,UGPA,first_pf
7,0,39,3.1,1
7,0,36,3.0,1
7,1,30,3.1,1
3,1,39,2.2,1
7,0,37,3.4,1
7,0,30,3.6,1
7,1,36,3.6,1
7,1,37,2.7,0
7,0,37,2.6,1
7,1,31,3.6,1
7,1,41,3.2,1
7,1,35,3.1,1
7,0,35,3.2,1
7,1,35,2.9,1
7,1,41,2.3,1
7,1,30,3.3,1
7,0,36,3.0,1
7,1,40,3.9,1
7,1,36,3.4,1
7,1,29,2.7,1
7,1,37,3.2,1
7,1,30,3.1,1
7,1,40,3.1,1
1,1,31,3.1,1
7,0,37,3.6,1
2,1,29,2.8,1
7,1,34,2.8,1
7,1,35,3.0,1
7,1,40,3.4,1
7,1,36,2.6,1
7,1,29,2.9,1
7,1,35,2.5,1
7,1,32,3.4,1
7,0,36,2.7,1
7,1,36,3.3,1
7,1,36,2.5,0
7,1,38,3.6,1
7,1,36,3.6,1
7,1,32,3.2,1
7,0,27,3.5,0
7,1,36,2.4,1
2,0,19,3.2,0
7,0,34,3.7,1
7,0,35,3.1,1
3,0,31,3.2,1
7,1,36,2.8,1
5,1,32,3.0,1
7,0,38,3.7,1
7,1,34,3.2,1
7,1,38,2.8,1
7,0,36,3.4,1
7,0,42,3.5,1
7,1,29,2.3,0
7,1,31,3.7,1
2,0,23,2.6,1
7,1,37,3.8,1
7,0,33,3.3,1
7,1,35,3.3,1
7,1,36,3.2,1
7,1,35,2.4,1
7,1,41,3.4,1
7,0,34,3.5,1
1,0,27,2.9,1
7,1,29,3.3,0
7,0,33,3.3,1
7,1,32,2.9,1
7,1,39,2.3,1
1,1,23,3.7,1
7,0,39,3.4,1
7,0,39,3.0,1
7,0,32,3.8,1
7,1,29,3.3,0
7,1,31,3.0,1
7,0,36,3.3,1
2,1,27,2.4,0
7,1,30,3.5,1
7,1,38,3.5,1
7,0,34,2.8,1
7,1,37,3.7,1
3,0,36,2.7,1
7,1,43,3.0,1
7,1,42,2.9,1
7,1,33,3.4,1
7,1,25,2.9,1
7,0,38,3.4,1
7,1,42,3.6,1
7,1,37,3.5,1
7,1,29,3.5,1
7,1,41,3.1,1
7,0,38,3.6,1
7,0,42,3.2,1
7,0,35,3.3,1
7,0,36,3.6,1
7,0,39,3.5,1
7,1,28,2.9,0
7,0,42,3.3,1
7,0,43,3.5,1
7,1,43,3.1,1
7,1,35,3.2,1
7,1,40,3.7,1
7,0,42,2.5,1
7,0,42,2.7,1
7,0,40,3.7,1
7,0,38,3.5,1
7,1,40,3.3,1
7,0,39,3.5,1
7,0,36,3.6,1
7,0,38,3.6,1
7,1,36,3.0,1
7,1,39,3.2,1
7,0,37,3.9,1
7,1,31,2.7,1
7,0,41,4.0,1
7,1,41,3.0,1
7,0,36,3.3,1
7,1,35,3.8,1
7,0,39,3.7,1
7,0,37,3.8,1
7,1,37,3.1,1
7,1,36,3.8,0
7,1,40,3.3,1
7,0,45,3.3,1
7,1,35,2.6,1
7,0,37,3.6,1
7,1,40,3.8,1
7,1,39,3.4,1
7,1,33,3.9,1
7,1,40,3.6,1
7,1,38,3.8,1
7,0,41,3.3,1
7,1,34,2.9,1
7,1,40,3.1,1
1,0,38,3.3,1
7,0,40,3.2,1
7,1,32,3.4,1
7,0,41,3.4,1
7,0,37,3.5,1
7,1,41,3.3,1
7,0,39,3.6,1
7,1,38,3.5,1
7,1,42,3.1,1
7,0,37,3.6,1
2,0,32,2.8,1
7,0,39,3.6,1
7,0,32,2.8,1
7,1,41,3.1,1
7,0,36,3.7,1
7,1,38,3.4,1
7,1,34,3.3,1
7,1,38,3.6,1
7,1,43,2.9,1
7,0,35,3.7,1
1,1,37,3.6,1
7,0,37,3.9,1
7,1,40,3.2,1
7,0,45,3.2,1
7,1,39,3.3,1
7,1,40,3.3,1
7,0,38,3.4,1
7,1,40,3.4,1
4,0,32,2.8,1
7,1,36,3.7,1
7,0,30,3.5,1
7,1,37,3.7,1
5,0,35,3.0,1
1,0,31,3.4,1
7,1,36,2.7,1
7,0,35,2.9,1
7,0,28,3.2,1
7,1,39,2.4,1
7,0,41,3.9,1
7,1,29,3.5,1
7,1,36,3.1,1
7,1,39,3.8,1
7,1,36,3.0,1
7,1,36,2.9,1
7,1,36,2.9,1
7,1,37,2.8,1
7,1,38,3.2,1
7,1,31,3.1,1
7,1,37,3.1,1
7,1,26,3.3,1
2,0,32,3.7,1
7,0,31,3.0,1
7,0,32,3.1,1
7,1,35,3.2,1
7,0,31,3.2,1
7,1,33,3.0,1
7,0,33,3.1,1
7,1,34,2.9,1
7,0,39,4.1,1
7,1,34,3.1,1
7,1,34,2.8,1
7,0,37,2.8,1
7,0,25,3.2,1
7,1,33,2.9,1
3,0,29,3.1,1
7,0,34,3.0,0
7,0,34,2.7,1
7,0,30,3.0,1
7,0,33,3.3,1
7,1,34,2.9,0
7,0,30,3.4,1
7,0,38,2.4,1
7,1,32,3.1,1
7,0,40,4.0,1
7,0,42,4.0,1
7,0,35,3.2,1
7,0,29,3.4,1
7,1,35,2.9,1
7,0,32,3.1,1
7,1,27,2.3,1
7,0,38,3.0,1
7,1,31,2.7,0
7,0,38,3.0,1
7,0,28,3.9,1
7,1,34,2.6,1
7,0,31,3.0,1
7,1,33,2.9,1
7,0,35,2.7,1
7,0,32,2.8,1
7,0,36,2.6,0
7,1,37,3.4,1
7,0,33,3.2,1
7,0,37,2.9,1
7,1,25,2.8,1
7,1,38,2.6,1
7,1,34,2.7,1
7,1,35,2.9,1
7,1,29,2.8,1
7,0,41,3.0,1
7,1,35,3.2,1
7,1,34,2.9,1
7,1,42,2.6,1
7,1,30,3.1,1
7,1,41,2.5,1
7,1,31,3.5,1
