race,sex,LSAT,UGPA,label
7,1,31.0,2.509685734382587,1
7,0,36.0,2.7875452679372565,1
7,1,32.0,2.924643811358125,1
7,0,36.0,3.2696667846989342,1
2,1,26.0,2.383047412960467,1
7,1,41.0,3.366083576332968,1
7,0,45.0,3.360648879430979,1
7,0,34.0,4.38019032180387,1
7,1,34.0,3.30486298878657,1
7,0,29.0,3.4178620651739253,1
7,0,35.0,3.3242799484907986,1
7,1,41.0,3.269032965224893,1
7,0,33.0,3.1555520843330815,1
7,0,43.0,3.5853134893916248,1
7,0,46.0,3.8096587037118965,1
2,1,36.0,2.5099098072912254,0
7,1,40.0,3.1237914361112322,1
7,1,31.0,3.75716170720246,1
7,1,39.0,3.147832916033246,1
7,1,37.0,3.1454614690993337,1
7,1,28.0,1.913508834020426,1
7,0,47.0,3.987581273042375,1
7,0,41.0,3.039952803473065,1
7,1,42.0,3.277045805038368,1
7,0,31.0,2.6596558401407493,1
7,1,39.0,2.85550926657199,1
7,1,31.0,2.8544453810344836,1
7,1,43.0,3.146875624336395,1
7,1,38.0,3.670159379426937,1
0,1,31.0,2.4161842851243733,1
7,1,32.0,2.8997458538615932,1
7,1,32.0,2.850382788008427,1
7,1,40.0,2.8605632111875234,1
7,0,39.0,3.7139859163172577,1
7,1,27.0,3.6185128041250008,1
7,1,33.0,3.1771549080894306,1
7,0,34.0,3.212962431405006,1
7,1,31.0,2.6232891715744784,1
7,1,50.0,3.53031489034821,0
7,1,40.0,3.5702808134075785,1
7,0,29.0,4.063072924773569,1
7,1,46.0,3.6810231038839616,1
7,1,37.0,3.6670823926331377,1
7,0,30.0,3.27908027944126,1
7,1,38.0,3.1030251712315104,1
7,0,36.0,3.4032289496132795,1
7,1,29.0,3.8943873563055487,1
2,0,25.0,2.7076399434886254,1
7,1,41.0,4.139379012053226,1
7,1,35.0,3.4925798137646713,1
7,1,36.0,3.945330894698821,1
7,1,24.0,3.7870967738095143,1
3,0,34.0,2.903467575081514,1
7,1,40.0,2.520825199083604,1
7,1,37.0,2.8235128774034264,1
7,1,44.0,3.334873841910026,1
7,1,44.0,3.091595020611758,1
7,1,39.0,3.6444134113456608,1
7,1,37.0,3.5132861830333937,1
7,1,24.0,3.2719626983281884,1
2,1,32.0,2.6405050022615613,1
7,0,42.0,3.004379639318532,1
7,1,32.0,2.901375802387532,1
7,0,41.0,3.5712562155059504,1
7,0,52.0,3.125695521442762,1
7,0,34.0,3.5333341069278443,0
7,0,42.0,3.2249223203132007,1
7,1,27.0,2.61454647157713,1
7,0,39.0,2.5791766417406534,1
7,0,31.0,2.9909176240276536,1
7,1,37.0,2.936056408810935,1
7,1,30.0,3.6764266580568186,1
2,1,33.0,2.8894237382295604,0
7,1,30.0,2.7483141686552144,1
7,1,44.0,2.810433901893433,0
7,0,33.0,3.072362175203375,1
7,0,38.0,3.1122291997358675,1
7,1,38.0,3.7753465096709755,1
7,0,39.0,2.789104323009521,1
7,1,54.0,3.620561636552973,1
7,1,37.0,3.562921539021616,1
7,0,38.0,3.2096607654150655,1
7,0,40.0,3.0113518435126383,1
7,1,37.0,2.912078768980998,1
7,0,36.0,3.2738758970434216,1
7,1,40.0,3.082303856374346,1
7,0,47.0,3.631900179506488,1
7,1,20.0,3.301761984814446,1
7,1,28.0,2.5349926247260814,1
7,1,43.0,3.424970627890887,1
7,0,45.0,3.2149861691542756,1
5,0,34.0,3.3679890652564275,1
7,1,36.0,3.187889929891919,1
7,1,34.0,3.0434174117083144,1
7,0,49.0,3.1890952575175016,1
1,0,41.0,2.4210288531860193,0
7,1,29.0,3.0639795546791246,1
7,1,35.0,3.0068211833975598,1
7,0,38.0,3.1369532840208216,0
7,0,32.0,3.3220948215395083,1
7,1,35.0,3.740257047753378,0
1,1,29.0,3.2425848364613823,1
7,1,38.0,2.8936788938526123,1
7,0,33.0,3.3747953616300435,1
7,0,32.0,3.47574269619908,1
7,0,32.0,3.4988177739310355,1
7,1,34.0,2.6483699889417536,1
7,0,49.0,3.136611969899199,1
7,0,49.0,3.988187159223458,1
7,1,30.0,2.5140708793829942,1
1,1,31.0,2.651608564101699,1
3,1,36.0,2.6461922979089283,1
7,0,37.0,3.8495731770827106,1
2,1,21.0,2.950765436542882,1
7,1,39.0,3.1312335363933954,1
1,1,38.0,2.940786437976085,1
7,1,59.0,3.47426926693623,1
7,1,39.0,2.7314607540797335,1
7,1,33.0,2.770263979031738,1
2,1,35.0,3.1542916504289202,1
7,1,36.0,3.4296934932412007,1
7,1,23.0,3.6924022284934863,1
7,1,35.0,3.4582615758300608,0
7,1,49.0,2.387723842231348,1
