aggressive,age,race,education,incom,car_type,redcar,y
-0.94038576,6,0,6,0.23535554,5,1,0
-1.2789539,7,1,7,-1.5111852,6,0,0
-0.46350628,5,0,7,0.94352865,5,1,0
-0.87664276,4,0,4,-0.8926501,4,1,1
-1.9224918,2,1,3,0.39676726,4,1,0
-0.060834263,6,1,6,0.31880164,4,1,1
1.3959302,4,0,5,1.1223634,4,1,1
-0.093033284,4,1,5,0.13683338,3,1,1
-2.0825894,5,0,6,-1.0598866,5,1,0
-4.2641916,4,1,3,-0.4445576,7,1,0
0.30208662,4,1,3,-0.97631294,4,1,1
-1.6377568,5,1,6,-1.0567764,5,1,0
1.4438648,6,0,5,1.1670572,5,1,0
0.63000065,3,1,3,-0.83036745,2,1,1
-0.68074894,6,0,7,-0.16062677,6,1,0
1.2214092,5,1,5,-0.33126402,5,1,0
-0.47942775,6,0,7,0.5190446,5,0,0
-1.5838311,3,1,2,-0.65161794,5,1,0
-1.060135,3,1,3,0.6256088,5,1,0
-0.17150502,5,1,4,-1.3739841,4,1,1
-0.112922534,4,0,5,1.2068632,4,0,0
-1.1338948,7,0,9,0.8052582,6,1,1
0.64861906,3,1,3,1.1252812,3,0,0
-1.9786826,6,1,7,1.2096524,6,1,0
0.57607865,3,1,4,-0.8932894,3,1,1
1.4047648,4,1,4,1.8149204,4,1,0
0.5282522,4,0,4,-0.17642847,3,1,1
-1.4097987,8,0,8,0.41843885,7,1,0
0.95557696,4,1,5,1.095854,4,1,0
0.42812067,6,0,9,-2.533335,2,0,1
0.34085512,4,1,3,-1.6071892,4,0,0
0.60953176,6,1,6,-2.2604728,3,0,1
0.55893683,5,1,5,-0.57873416,4,1,1
1.8642063,5,0,5,-0.78260094,4,1,1
-0.027133409,4,1,4,0.31946295,5,0,0
-0.45616284,4,1,4,-1.1743898,3,0,1
0.7918553,6,0,7,0.3433249,4,1,1
-1.1466198,4,0,4,0.45851067,4,1,0
-0.4608846,5,0,7,-0.67247456,4,1,0
-0.651287,3,0,4,0.56619567,4,1,0
1.4625555,4,1,4,-0.8280293,3,1,1
0.10455872,4,1,5,0.39003956,4,1,1
1.5228641,6,0,6,0.7066308,6,1,0
0.26219097,9,1,8,0.13345908,6,0,1
0.8138754,6,1,5,-0.528116,6,1,0
1.1227121,4,1,4,-0.5862018,2,1,1
-0.44043246,3,0,5,1.4008815,4,1,0
0.30676654,5,0,6,-0.5335332,4,0,1
0.20301586,4,0,4,-2.210779,3,1,1
-0.4981882,6,0,7,1.824932,7,1,0
0.5413345,6,0,8,0.14626436,5,1,1
0.934433,6,0,7,-0.2133282,5,1,0
1.8849081,6,0,7,0.89890534,3,1,1
1.4724034,4,1,3,0.030407973,4,1,0
0.57325155,6,1,5,-0.28530368,5,1,1
-0.62276185,5,1,4,0.9062881,7,1,0
0.28077048,5,0,7,-0.20710085,3,1,1
0.34417924,5,1,4,-1.2625828,3,1,1
0.31774816,6,0,7,-0.83994937,3,0,1
-0.41901436,6,1,5,-1.2568934,4,1,1
0.21531898,7,1,7,-1.2613026,6,1,0
-1.4084044,6,0,6,0.8994918,9,1,0
0.15467907,3,0,3,1.3995517,4,0,0
-1.3700439,6,1,6,-1.0648277,6,0,0
-0.1837185,5,0,6,-0.39240766,5,1,0
-0.8570909,3,0,3,1.7285706,4,1,0
-0.24185506,4,1,5,1.0465611,4,1,0
