aggressive,age,race,education,incom,car_type,redcar,y
0.6710768,5,1,5,-0.80045027,6,1,0
-1.7227476,3,1,3,1.1775463,3,1,0
0.51710314,6,1,5,1.1329697,5,1,0
-0.49462992,6,0,5,0.7778861,4,0,1
-1.0762019,3,0,3,2.2322733,2,1,1
0.4457993,7,1,5,0.5699519,6,1,0
-0.109662525,6,0,5,0.06513689,5,1,1
-0.39446998,7,1,4,0.806296,4,1,1
-0.18380345,5,0,4,0.13464797,3,0,1
-0.5180323,4,0,3,-0.76513207,4,1,0
0.8288186,5,0,4,1.2848567,3,0,1
0.06631665,4,1,3,-1.6636928,5,1,0
-0.28436315,7,1,5,-1.9394224,6,1,0
-0.03352283,4,1,3,-0.9589969,4,0,0
-0.32208994,6,1,4,0.6647017,4,1,1
0.49920198,4,1,3,-0.4315177,3,1,0
-0.10599175,5,0,4,2.3944416,2,1,1
1.7100403,6,1,4,0.31028914,3,1,1
-0.4938184,4,0,2,1.3894631,1,0,1
0.31170586,6,1,4,0.8703191,3,1,1
-0.61225086,6,0,4,-0.1489181,6,0,0
-1.1162786,5,0,4,0.59284127,4,1,1
-0.7111012,4,0,3,1.0541928,2,1,1
-1.03209,5,1,3,0.64192086,3,0,1
1.3811826,3,1,2,-0.96705455,3,0,1
1.892683,5,0,3,-0.8325759,4,1,0
0.49257058,5,1,4,-1.1618215,4,0,0
-0.22658682,5,0,3,-0.2241667,5,0,0
-2.1346848,6,1,4,-0.05931567,4,1,1
0.4941351,2,1,1,-0.57913405,5,1,0
0.44498548,6,0,5,-0.45388582,5,1,0
-0.6091647,6,1,5,-0.35515144,4,0,1
0.507248,6,0,5,-0.15208188,2,1,1
-0.89849436,5,1,4,-1.8357819,6,1,0
-0.22380152,4,0,3,-0.1345599,4,1,0
-0.04733747,6,0,4,-1.5489204,7,0,0
0.66146576,6,0,5,0.6209259,3,0,1
3.057101,6,0,4,-1.2474506,4,0,1
0.5098832,4,1,2,0.14874548,4,1,0
-1.2643936,4,0,3,-0.46891358,3,1,1
1.7041502,3,1,2,-0.55268425,5,1,0
-0.8441748,5,1,4,-1.4576465,5,0,0
-0.01502198,5,0,4,-2.4947202,6,1,0
1.3230789,4,0,3,0.5066438,2,1,1
-0.7113182,4,0,3,1.1886733,4,0,0
-0.25436184,5,1,3,-0.3856177,3,1,1
-0.5605416,5,0,4,-0.48731688,4,1,0
-0.25243402,4,1,3,2.5545862,3,1,0
0.32400528,3,0,2,-1.0779046,3,1,0
0.78181046,7,0,6,-1.1793703,6,1,0
-0.5251704,8,1,7,0.2909883,5,1,1
-1.7918102,5,1,4,0.8271287,4,1,0
-1.203039,4,1,3,0.6533438,4,1,0
0.8593843,4,0,3,0.65252763,2,0,1
0.25411102,7,1,6,1.0660207,3,0,1
-1.3409636,3,0,2,-0.84165967,2,1,0
-0.73890436,4,0,3,0.49606332,3,0,1
1.6786294,7,1,5,-0.18630396,3,1,1
1.0592358,4,0,2,-0.17350805,3,1,0
0.48683193,6,1,4,0.25496933,4,0,1
1.9155908,6,1,4,-0.22633919,4,0,1
-1.1063963,7,0,6,0.35038576,4,1,1
-0.26777166,6,0,5,-1.1401896,6,1,0
-0.7890081,6,1,4,-0.8139324,4,1,1
-1.1854608,4,1,3,-0.20591554,4,1,0
-0.0041937544,3,1,2,-0.66044307,3,1,0
0.5620808,4,1,4,0.022155741,4,1,0
0.45702204,5,1,3,-1.3698143,5,1,0
-1.149312,5,0,3,0.27927953,4,1,0
-0.7452054,4,1,3,-1.795159,6,1,0
-1.1174904,5,0,3,1.7212467,3,1,1
-0.94253486,6,1,5,1.3313482,4,1,1
-1.1687505,4,1,3,-0.55177736,4,0,0
0.29617092,3,1,3,0.16523428,3,1,0
1.1347084,2,0,2,0.10867254,3,1,0
1.2452817,6,1,5,0.32881913,4,1,1
0.4283935,4,1,3,1.0588108,2,1,1
-1.5201396,2,0,2,-1.6426442,4,1,0
-0.48501948,5,0,4,-0.41417027,4,0,0
2.2602108,5,1,5,-0.9760119,4,1,0
-0.3291105,4,1,3,1.2413142,3,0,1
1.0033094,4,0,3,-0.49772295,3,0,1
-1.3262526,4,1,3,-0.008924748,4,1,0
-2.1419833,6,0,5,-0.25346372,6,1,0
-0.3617107,4,1,4,0.36830083,4,1,0
0.25513256,3,1,3,0.8385388,3,1,0
-0.4365111,4,0,3,1.2449797,4,1,0
0.10237439,3,0,2,-0.06698386,3,0,0
1.6364754,4,0,3,-1.2228221,3,1,1
-0.9024415,7,0,6,0.9964997,3,1,1
-0.35442087,5,0,3,-0.1443095,4,1,0
-0.42226973,5,0,4,2.271927,3,0,1
1.4431431,5,1,3,0.68993515,4,0,0
0.15190321,5,1,3,0.5925093,3,1,1
0.23399916,5,1,4,1.3503189,3,1,1
0.26847747,6,0,4,0.67484653,4,1,1
2.195135,6,1,6,-0.8084297,5,0,1
0.32520413,7,0,6,0.1702331,5,1,1
-1.5613499,4,1,3,-0.46066654,4,1,0
-1.8201724,4,1,3,1.7636476,4,0,0
0.13380279,3,0,2,0.1907808,3,1,0
-1.000723,6,0,5,-2.5102496,5,0,0
2.8010046,6,1,5,0.05982199,2,0,1
0.68925357,5,1,4,-0.86707544,3,1,1
-0.8595532,7,0,5,0.43866527,5,1,0
2.3620324,6,0,4,0.13405885,5,1,0
-0.4648168,3,1,2,0.5197257,4,0,0
0.5526896,6,0,5,0.3504984,5,1,0
-0.26039618,5,0,4,-0.2534299,4,1,0
-1.0825737,4,0,2,-0.12193049,3,0,1
-0.45974874,5,1,4,-1.4567145,6,1,0
1.2631465,6,0,4,-0.78395754,5,0,0
0.06776604,4,1,3,0.74917775,2,1,1
1.1129708,4,0,3,0.63752836,2,1,1
0.80881256,4,0,2,-1.1639051,4,1,0
-0.94219506,4,0,3,-1.133495,4,1,0
0.88661903,4,0,3,-0.8917357,4,1,0
1.3572798,4,0,3,-0.864346,4,0,0
0.2767846,3,0,2,1.1159183,3,1,1
0.2996166,5,1,3,-1.1929743,6,1,0
0.24446596,5,0,4,1.3895179,3,1,1
1.6841685,7,1,6,-0.4180869,4,1,1
1.6516496,6,0,3,-0.8808898,4,0,1
-1.6959832,5,0,4,1.6291462,3,1,1
-0.7898073,5,1,3,0.43564695,5,1,0
-0.23444144,5,1,3,0.32071668,3,1,1
0.52041674,4,0,3,-0.94707155,4,1,0
-0.13934065,5,0,3,0.73911583,4,0,0
0.3475668,5,0,3,-1.4391223,5,0,0
-0.60633826,4,0,3,-0.767052,4,0,0
0.17271678,7,0,6,-1.2681265,6,1,0
1.5179069,5,0,4,-0.040325563,3,0,1
0.42877585,3,0,3,0.9408048,4,1,0
0.2765279,5,0,4,0.54906166,2,1,1
-0.353933,5,1,4,-0.8135333,5,1,0
0.08405384,5,0,3,1.65394,2,1,1
0.34368715,5,1,4,-2.1389754,3,1,1
0.54417765,7,0,6,-1.7539757,5,0,0
0.577357,7,0,5,0.65479034,4,0,1
-0.1472792,2,1,1,-1.4881971,3,0,0
-1.2043018,7,1,5,1.3204315,3,0,1
-0.21317221,5,1,4,-0.13264799,4,1,0
0.3296798,6,1,6,-1.6012571,6,1,0
1.1099173,5,1,4,-0.313705,5,0,0
0.06279235,3,1,3,0.582083,3,0,0
-0.3055597,4,0,2,-1.1703627,5,1,0
-0.7918665,6,0,5,0.63289285,4,1,1
-0.06220576,6,1,5,-0.8072503,6,1,0
-0.07075914,7,0,5,0.31188855,4,1,1
0.40273276,6,1,5,0.5675391,3,1,1
-0.7152631,3,0,2,0.29470396,3,1,1
-0.949998,5,1,4,-0.09242125,6,1,0
-0.7370933,7,0,6,0.9348217,4,1,1
1.4300084,3,0,2,0.1613973,4,0,0
-1.5368183,5,0,5,-0.92108136,5,1,0
0.8309444,5,0,4,-1.0005367,3,1,1
-0.4746927,5,0,4,-0.0047295033,2,0,1
1.1095579,8,1,6,1.3378408,3,0,1
1.7134928,5,0,4,1.7263794,2,1,1
0.996488,3,1,3,-1.6016375,5,1,0
1.1585425,8,1,7,0.3078866,4,0,1
-1.6190598,5,0,4,1.018525,4,0,0
-0.16551204,4,0,3,1.0306953,3,0,1
1.1751343,4,1,3,-1.5613225,4,1,0
0.4257391,7,0,5,0.19031702,4,1,1
-0.5096989,5,1,4,1.9851805,2,1,1
0.78350633,5,1,4,0.064941525,3,1,0
-0.59716684,5,1,3,-0.2538085,4,1,0
0.580904,5,1,3,0.33807683,4,1,0
0.042292763,7,0,6,-0.38779223,5,1,1
0.0038897928,5,1,4,-0.42349848,4,0,0
1.5675238,3,1,2,-0.8789728,4,1,0
-0.8862302,8,0,6,-1.2256502,5,1,1
-0.009951921,3,1,3,2.08217,2,0,1
-2.509021,5,0,4,0.11018119,6,1,0
0.7389232,1,1,1,-0.035981726,4,1,0
0.5835695,5,0,4,0.17042242,4,1,1
0.6422389,5,1,4,-0.114486545,5,1,0
0.12605965,5,1,4,0.12377586,5,1,0
-0.023487752,4,1,3,1.0639869,4,1,0
0.6174958,5,1,4,0.635339,2,1,1
-0.22927852,6,0,5,0.5797842,3,1,1
-1.6265117,6,0,4,-0.11410814,6,1,0
0.18886623,5,1,3,0.06467616,4,1,1
0.22025563,6,0,4,0.68703306,5,1,0
-1.2620898,4,1,3,0.7062732,3,1,1
-0.8144631,3,0,2,0.257654,4,1,0
-0.22506769,7,1,5,2.2070124,3,1,1
-0.43494537,5,1,4,1.9992199,2,1,1
1.221938,5,1,5,1.3952405,3,1,1
0.61592156,5,1,4,-1.3793393,6,1,0
0.30290642,6,0,4,2.1041784,3,1,1
1.3284475,5,0,4,-0.7067701,5,1,0
-0.30624253,4,0,2,-0.30643153,3,1,1
-1.0245111,7,0,5,-0.2026079,6,1,0
0.060102675,5,0,5,-1.7933546,7,0,0
1.0431558,7,1,5,-0.25781515,4,0,1
0.38525575,2,1,1,0.35443375,4,0,0
-0.7516168,7,0,6,-0.9161443,4,0,1
-1.5725707,5,1,4,-1.791546,7,1,0
-0.71375716,3,0,2,-2.9622102,5,1,0
-0.75919646,5,1,3,0.98420227,4,0,1
-1.220419,5,1,5,-0.26501852,4,0,1
-0.32727656,7,0,6,-1.4350779,6,0,0
-0.12967955,4,0,3,-0.82920533,5,0,0
0.9626752,4,1,3,-0.60522336,4,0,0
-0.27734372,7,0,5,-0.060088545,5,1,0
0.5757648,5,1,4,0.6245299,4,1,0
0.1629942,6,0,5,0.33966592,5,1,0
-0.19582114,4,0,3,0.23871192,4,1,0
