aggressive,age,race,education,incom,car_type,redcar,y
-1.0739679,7,1,2.0,-1.6575568023191767,10.0,1,0
0.23820335,5,1,3.0,-0.9111857887591325,1.0,1,1
-0.049522374,6,0,6.0,0.47695172125883034,2.0,0,1
-2.5087457,6,1,2.0,-0.4790918783484088,1.0,1,1
0.77776396,5,0,5.0,-0.0073035290325746405,5.0,0,0
0.8861984,5,1,3.0,-1.656959506175115,11.0,1,0
-0.72869074,5,1,1.0,-0.9805483343947803,4.0,0,0
0.66787696,4,1,2.0,-1.102879300184874,5.0,1,0
-0.6899407,5,1,1.0,-1.1848162649058975,3.0,1,1
-1.8915695,5,1,4.0,0.2357076834130285,12.0,1,0
0.46818903,6,0,5.0,1.4784904627802316,5.0,1,0
-0.76405644,7,1,4.0,0.4817094005142625,4.0,1,1
-1.4080935,4,1,1.0,0.11054600990041759,3.0,1,0
0.72993785,2,1,2.0,0.2006226303337084,7.0,1,0
-0.15283547,9,0,9.0,-0.21441639506612875,9.0,0,0
-1.0955266,6,0,1.0,-1.1274382859385934,4.0,1,1
0.06892163,5,0,3.0,-1.858127426345572,4.0,1,0
0.89931303,5,0,5.0,1.0225416781630885,1.0,1,1
-0.4334799,3,1,3.0,0.24720914566785152,0.0,1,1
-0.45605412,5,0,0.0,1.592142407873161,3.0,1,1
0.39131632,6,1,2.0,2.250383393202033,3.0,1,1
0.6397261,6,1,1.0,0.0664703195643409,1.0,0,1
1.0907439,4,1,2.0,1.3008732415168163,4.0,1,0
0.3920928,7,0,11.0,-2.072160787407159,11.0,1,0
1.5445412,8,1,7.0,0.35539521705124905,8.0,1,0
1.2444823,5,0,6.0,0.1321053554403315,2.0,1,1
0.37502897,6,1,4.0,-0.6320013683562443,2.0,1,1
-1.8815668,6,1,5.0,-0.29996716349830754,8.0,1,0
0.45866853,5,0,2.0,0.09857352187728421,4.0,0,1
-0.0023392553,6,1,2.0,-1.595266997856968,3.0,0,1
-0.5012443,5,0,3.0,1.144811335838489,2.0,1,1
-0.9064804,5,1,3.0,0.7390988898269246,3.0,1,1
0.40668395,5,1,5.0,1.6811593597572665,1.0,1,1
-0.5996547,6,1,5.0,-0.351461550048597,8.0,1,0
-0.9604413,4,0,4.0,0.33267466006739416,3.0,1,1
1.099797,4,0,3.0,-0.7798573285480909,4.0,0,0
0.38769716,5,1,4.0,-0.27297053196371035,7.0,1,0
1.5903828,5,1,2.0,1.0083349902857126,5.0,1,0
-1.1895343,2,0,2.0,-0.4431985223999161,2.0,1,0
1.2626746,4,1,2.0,-0.6664445147033609,3.0,1,0
-1.5231317,5,1,8.0,-0.4827869652192418,10.0,1,0
-0.08198518,5,1,4.0,0.22561058949433466,3.0,1,1
-0.53899664,4,0,2.0,-0.06145048778431244,6.0,1,0
-0.23120254,4,0,4.0,0.11943075129827543,0.0,1,1
2.4480147,7,0,10.0,1.3830346600221646,3.0,1,1
-1.221518,3,1,6.0,-1.4220421175546218,9.0,1,0
-1.0017673,4,1,6.0,-1.6929354145539552,5.0,1,0
0.12504661,6,0,6.0,-0.5676294532140437,8.0,0,0
-0.12775345,7,0,6.0,1.4256231833441346,0.0,1,1
1.243816,4,1,1.0,-1.1849955418253244,5.0,1,0
1.8942223,7,1,5.0,-0.24060254320899271,3.0,1,1
0.5989771,5,0,6.0,0.6070198282435536,1.0,1,1
-0.13242172,5,0,4.0,-0.10559871514672203,8.0,1,0
-1.2706672,5,1,7.0,2.0701959495827524,5.0,0,0
-0.5251367,3,0,1.0,0.4508907555163888,2.0,1,1
0.4134173,5,0,4.0,-1.0398086713974766,4.0,1,0
-0.16980667,5,1,4.0,-1.4569679542461957,3.0,1,1
0.49306676,4,1,4.0,0.7761246587911073,2.0,1,1
0.8605391,7,0,0.0,0.3193879605329106,5.0,0,1
0.5776491,2,1,3.0,1.7249720310745902,3.0,0,0
-0.79473233,4,0,4.0,-0.0896530880119597,3.0,1,1
0.81310093,6,1,2.0,-0.22076948218135709,3.0,1,1
0.59223896,6,1,1.0,0.5845784197234375,1.0,1,1
1.8361659,8,0,6.0,-1.3113952632910864,5.0,0,1
1.5656745,4,1,6.0,0.26282497072083283,0.0,0,1
0.04395656,5,0,8.0,1.3020973139829288,2.0,0,1
1.4267285,7,0,4.0,0.48942134279347205,5.0,0,0
1.5967427,6,1,6.0,1.2461815268341139,4.0,1,1
-2.3283682,6,1,1.0,-0.020122997167095855,6.0,1,0
1.3374295,5,1,4.0,-0.35462535657596356,4.0,1,0
-0.38117373,6,0,3.0,-0.21924786985474046,3.0,1,1
0.21455942,8,1,12.0,-0.44398298791220026,9.0,1,0
-0.2536599,6,0,5.0,0.6172972482766483,4.0,1,1
0.9434973,5,0,4.0,-1.1306469635247813,8.0,0,0
-0.5433418,6,1,5.0,0.6101844631233777,3.0,1,1
0.42248404,6,1,3.0,0.044121474051101554,5.0,1,0
0.064445585,3,1,3.0,-1.0775420554603203,4.0,1,0
2.078211,5,1,9.0,0.18494072932535113,4.0,0,0
-0.19713633,7,1,7.0,1.465984787125874,3.0,0,1
0.6983275,6,1,1.0,-0.658532185550034,9.0,1,0
-1.0158073,3,0,2.0,0.5787898117139294,4.0,0,0
-0.042315677,4,1,3.0,-1.0464286763974866,4.0,1,0
0.8795493,6,1,0.0,-1.0354801757075824,1.0,1,1
0.46643645,5,1,4.0,1.2177687914008353,3.0,1,1
